,Unnamed: 0,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,my_id
0,23217,1017,20/07/2013 15:42,20/07/2013 15:59,312,Allen St & E Houston St,40.722055,-73.989111,3002,South End Ave & Liberty St,40.711512,-74.015756,16027,Customer,\N,0,26946
1,26367,1342,20/07/2013 17:28,20/07/2013 17:51,3002,South End Ave & Liberty St,40.711512,-74.015756,525,W 34 St & 11 Ave,40.75594159,-74.0021163,16027,Subscriber,1960,1,30674
2,35820,1705,21/07/2013 10:02,21/07/2013 10:31,525,W 34 St & 11 Ave,40.75594159,-74.0021163,488,W 39 St & 9 Ave,40.75645824,-73.99372222,16027,Subscriber,1955,1,41715
3,37749,2600,21/07/2013 11:35,21/07/2013 12:18,488,W 39 St & 9 Ave,40.75645824,-73.99372222,488,W 39 St & 9 Ave,40.75645824,-73.99372222,16027,Subscriber,1983,1,43945
4,38905,2174,21/07/2013 12:19,21/07/2013 12:55,488,W 39 St & 9 Ave,40.75645824,-73.99372222,150,E 2 St & Avenue C,40.7208736,-73.98085795,16027,Subscriber,1958,1,45340
5,40022,872,21/07/2013 12:56,21/07/2013 13:10,150,E 2 St & Avenue C,40.7208736,-73.98085795,444,Broadway & W 24 St,40.7423543,-73.98915076,16027,Customer,\N,0,46688
6,41029,1149,21/07/2013 13:26,21/07/2013 13:46,444,Broadway & W 24 St,40.7423543,-73.98915076,433,E 13 St & Avenue A,40.72955361,-73.98057249,16027,Subscriber,1979,1,47881
7,42162,341,21/07/2013 14:01,21/07/2013 14:07,433,E 13 St & Avenue A,40.72955361,-73.98057249,293,Lafayette St & E 8 St,40.73028666,-73.9907647,16027,Subscriber,1980,2,49248
8,23217,1017,20/07/2013 15:42,20/07/2013 15:59,312,Allen St & E Houston St,40.722055,-73.989111,3002,South End Ave & Liberty St,40.711512,-74.015756,16027,Customer,\N,0,26946
9,26367,1342,20/07/2013 17:28,20/07/2013 17:51,3002,South End Ave & Liberty St,40.711512,-74.015756,525,W 34 St & 11 Ave,40.75594159,-74.0021163,16027,Subscriber,1960,1,30674
10,35820,1705,21/07/2013 10:02,21/07/2013 10:31,525,W 34 St & 11 Ave,40.75594159,-74.0021163,488,W 39 St & 9 Ave,40.75645824,-73.99372222,16027,Subscriber,1955,1,41715
11,37749,2600,21/07/2013 11:35,21/07/2013 12:18,488,W 39 St & 9 Ave,40.75645824,-73.99372222,488,W 39 St & 9 Ave,40.75645824,-73.99372222,16027,Subscriber,1983,1,43945
12,38905,2174,21/07/2013 12:19,21/07/2013 12:55,488,W 39 St & 9 Ave,40.75645824,-73.99372222,150,E 2 St & Avenue C,40.7208736,-73.98085795,16027,Subscriber,1958,1,45340
13,40022,872,21/07/2013 12:56,21/07/2013 13:10,150,E 2 St & Avenue C,40.7208736,-73.98085795,444,Broadway & W 24 St,40.7423543,-73.98915076,16027,Customer,\N,0,46688
14,41029,1149,21/07/2013 13:26,21/07/2013 13:46,444,Broadway & W 24 St,40.7423543,-73.98915076,433,E 13 St & Avenue A,40.72955361,-73.98057249,16027,Subscriber,1979,1,47881
15,42162,341,21/07/2013 14:01,21/07/2013 14:07,433,E 13 St & Avenue A,40.72955361,-73.98057249,293,Lafayette St & E 8 St,40.73028666,-73.9907647,16027,Subscriber,1980,2,49248
